2026-01-26 15:44:00 | WARNING | All conformers clashing pair_id=train__train_4__RHEA_40907 role=product
2026-01-26 15:44:00 | WARNING | Pair train__train_4__RHEA_40907 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:44:19 | WARNING | All conformers clashing pair_id=train__train_4__RHEA_40959 role=reactant
2026-01-26 15:44:26 | WARNING | All conformers clashing pair_id=train__train_4__RHEA_40959 role=product
2026-01-26 15:44:26 | WARNING | Pair train__train_4__RHEA_40959 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:48:01 | WARNING | All conformers clashing pair_id=train__train_12__RHEA_48620 role=reactant
2026-01-26 15:48:07 | WARNING | All conformers clashing pair_id=train__train_12__RHEA_48620 role=product
2026-01-26 15:48:07 | WARNING | Pair train__train_12__RHEA_48620 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:51:44 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_30143 role=reactant
2026-01-26 15:51:50 | WARNING | Pair train__train_15__RHEA_30143 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:51:56 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_40059 role=reactant
2026-01-26 15:52:02 | WARNING | Pair train__train_15__RHEA_40059 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:52:07 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_30135 role=reactant
2026-01-26 15:52:13 | WARNING | Pair train__train_15__RHEA_30135 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:52:19 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_40119 role=reactant
2026-01-26 15:52:25 | WARNING | Pair train__train_15__RHEA_40119 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:52:31 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_40139 role=reactant
2026-01-26 15:52:37 | WARNING | Pair train__train_15__RHEA_40139 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:52:43 | WARNING | All conformers clashing pair_id=train__train_15__RHEA_40151 role=reactant
2026-01-26 15:52:49 | WARNING | Pair train__train_15__RHEA_40151 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:53:49 | WARNING | All conformers clashing pair_id=train__train_21__RHEA_55196 role=product
2026-01-26 15:53:49 | WARNING | Pair train__train_21__RHEA_55196 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:54:01 | WARNING | All conformers clashing pair_id=train__train_21__RHEA_55212 role=product
2026-01-26 15:54:01 | WARNING | Pair train__train_21__RHEA_55212 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:56:16 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50120 role=reactant
2026-01-26 15:56:23 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50120 role=product
2026-01-26 15:56:23 | WARNING | Pair train__train_34__RHEA_50120 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:56:29 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50116 role=reactant
2026-01-26 15:56:36 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50116 role=product
2026-01-26 15:56:36 | WARNING | Pair train__train_34__RHEA_50116 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:56:42 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50112 role=reactant
2026-01-26 15:56:49 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50112 role=product
2026-01-26 15:56:49 | WARNING | Pair train__train_34__RHEA_50112 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:56:55 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50108 role=reactant
2026-01-26 15:57:01 | WARNING | Pair train__train_34__RHEA_50108 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:57:07 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50104 role=reactant
2026-01-26 15:57:14 | WARNING | Pair train__train_34__RHEA_50104 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:57:20 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50100 role=reactant
2026-01-26 15:57:26 | WARNING | All conformers clashing pair_id=train__train_34__RHEA_50100 role=product
2026-01-26 15:57:26 | WARNING | Pair train__train_34__RHEA_50100 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:57:31 | WARNING | All conformers clashing pair_id=train__train_36__RHEA_37459 role=reactant
2026-01-26 15:57:37 | WARNING | All conformers clashing pair_id=train__train_36__RHEA_37459 role=product
2026-01-26 15:57:37 | WARNING | Pair train__train_36__RHEA_37459 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:57:43 | WARNING | All conformers clashing pair_id=train__train_36__RHEA_10276 role=reactant
2026-01-26 15:57:49 | WARNING | Pair train__train_36__RHEA_10276 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:59:17 | WARNING | All conformers clashing pair_id=train__train_49__RHEA_45964 role=reactant
2026-01-26 15:59:23 | WARNING | Pair train__train_49__RHEA_45964 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:59:35 | WARNING | All conformers clashing pair_id=train__train_51__RHEA_18353 role=product
2026-01-26 15:59:35 | WARNING | Pair train__train_51__RHEA_18353 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:00:10 | WARNING | All conformers clashing pair_id=train__train_55__RHEA_30527 role=product
2026-01-26 16:00:10 | WARNING | Pair train__train_55__RHEA_30527 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:00:51 | WARNING | All conformers clashing pair_id=train__train_58__RHEA_10300 role=reactant
2026-01-26 16:00:57 | WARNING | Pair train__train_58__RHEA_10300 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:05:09 | WARNING | All conformers clashing pair_id=train__train_70__RHEA_40519 role=reactant
2026-01-26 16:05:15 | WARNING | Pair train__train_70__RHEA_40519 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:08:05 | WARNING | All conformers clashing pair_id=train__train_70__RHEA_41099 role=product
2026-01-26 16:08:05 | WARNING | Pair train__train_70__RHEA_41099 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:09:24 | WARNING | All conformers clashing pair_id=train__train_87__RHEA_32459 role=reactant
2026-01-26 16:09:32 | WARNING | All conformers clashing pair_id=train__train_87__RHEA_32459 role=product
2026-01-26 16:09:32 | WARNING | Pair train__train_87__RHEA_32459 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:09:39 | WARNING | All conformers clashing pair_id=train__train_87__RHEA_15613 role=reactant
2026-01-26 16:09:46 | WARNING | All conformers clashing pair_id=train__train_87__RHEA_15613 role=product
2026-01-26 16:09:46 | WARNING | Pair train__train_87__RHEA_15613 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:13:13 | WARNING | All conformers clashing pair_id=train__train_97__RHEA_61984 role=reactant
2026-01-26 16:13:21 | WARNING | All conformers clashing pair_id=train__train_97__RHEA_61984 role=product
2026-01-26 16:13:21 | WARNING | Pair train__train_97__RHEA_61984 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:13:28 | WARNING | All conformers clashing pair_id=train__train_97__RHEA_74075 role=reactant
2026-01-26 16:13:35 | WARNING | All conformers clashing pair_id=train__train_97__RHEA_74075 role=product
2026-01-26 16:13:35 | WARNING | Pair train__train_97__RHEA_74075 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:14:23 | WARNING | All conformers clashing pair_id=train__train_101__RHEA_19297 role=product
2026-01-26 16:14:23 | WARNING | Pair train__train_101__RHEA_19297 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:19:15 | WARNING | All conformers clashing pair_id=train__train_117__RHEA_42328 role=product
2026-01-26 16:19:15 | WARNING | Pair train__train_117__RHEA_42328 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:19:39 | WARNING | All conformers clashing pair_id=train__train_117__RHEA_45636 role=product
2026-01-26 16:19:39 | WARNING | Pair train__train_117__RHEA_45636 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:19:59 | WARNING | All conformers clashing pair_id=train__train_119__RHEA_32459 role=reactant
2026-01-26 16:20:06 | WARNING | All conformers clashing pair_id=train__train_119__RHEA_32459 role=product
2026-01-26 16:20:06 | WARNING | Pair train__train_119__RHEA_32459 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:20:13 | WARNING | All conformers clashing pair_id=train__train_119__RHEA_15613 role=reactant
2026-01-26 16:20:20 | WARNING | Pair train__train_119__RHEA_15613 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:25:02 | INFO | Progress split=train rows=500 good=185 r_ok=236 p_ok=236 exists=0/0 dummy_pairs=259 clash_all=78 errors=0
2026-01-26 16:25:55 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50036 role=reactant
2026-01-26 16:26:02 | WARNING | Pair train__train_136__RHEA_50036 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:26:07 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67524 role=reactant
2026-01-26 16:26:13 | WARNING | Pair train__train_136__RHEA_67524 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:26:19 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67532 role=reactant
