name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_c2i,./data/rfd3/ccd_ligands/structures/C2I.cif,C2I,660.381,44,24,"C,H,N,O,P",C20 H22 N8 O14 P2,"9-[(1R,6R,8R,9S,10R,15S,17R,18S)-3,9,12,18-tetrakis(oxidanyl)-3,12-bis(oxidanylidene)-17-(6-oxidanylidene-3H-purin-9-yl)-2,4,7,11,13,16-hexaoxa-3$l^{5},12$l^{5}-diphosphatricyclo[13.3.0.0^{6,10}]octadecan-8-yl]-3H-purin-6-one",7
ccd_biq,./data/rfd3/ccd_ligands/structures/BIQ.cif,BIQ,660.674,48,15,"C,H,N,O",C33 H36 N6 O9,"BENZYL [12-(2-AMINO-2-OXOETHYL)-4-NITRO-10,13-DIOXO-15-[(PROPYLAMINO)CARBONYL]-2-OXA-11,14-DIAZATRICYCLO[15 .2.2.1~3,7~]DOCOSA-1(19),3(22),4,6,17,20-HEXAEN-9-YL]CARBAMATE",7
ccd_m8t,./data/rfd3/ccd_ligands/structures/M8T.cif,M8T,662.394,44,24,"C,F,H,N,O,P",C20 H22 F2 N10 O10 P2,"2'-fluoro-,3',3'-c-di-AMP",7
ccd_cna,./data/rfd3/ccd_ligands/structures/CNA.cif,CNA,662.460,44,22,"C,H,N,O,P",C22 H30 N7 O13 P2,CARBA-NICOTINAMIDE-ADENINE-DINUCLEOTIDE,7
ccd_8hd,./data/rfd3/ccd_ligands/structures/8HD.cif,8HD,662.796,47,12,"C,H,N,O,S",C35 H42 N4 O7 S,"N~3~-{(2S,3R)-3-hydroxy-4-[{[4-(hydroxymethyl)phenyl]sulfonyl}(2-methylpropyl)amino]-1-phenylbutan-2-yl}-N~1~-methyl-N~1~-[(4-methyl-1,3-oxazol-2-yl)methyl]benzene-1,3-dicarboxamide",7
ccd_ba7,./data/rfd3/ccd_ligands/structures/BA7.cif,BA7,663.422,44,22,"C,H,N,O,P",C22 H27 N5 O15 P2,"[(2R,3R,4R,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxymethyl]-2,4-bis(oxidanyl)oxolan-3-yl] benzoate",7
ccd_b8s,./data/rfd3/ccd_ligands/structures/B8S.cif,B8S,663.569,46,12,"C,CL,F,H,N,O",C34 H33 Cl2 F N6 O3,"N-{[2-chloro-5-(2-{3-[4-(6-chloro-3-methyl-2-oxo-2,3-dihydro-1H-benzimidazol-1-yl)piperidin-1-yl]propyl}-3-oxo-2,3-dihydropyridazin-4-yl)phenyl]methyl}-4-fluorobenzamide",7
ccd_eeu,./data/rfd3/ccd_ligands/structures/EEU.cif,EEU,663.714,48,13,"C,H,N,O",C35 H41 N3 O10,ESTRADIOL-PYRIDINIUM TETRAACETIC ACID,7
ccd_hp1,./data/rfd3/ccd_ligands/structures/HP1.cif,HP1,663.727,48,17,"C,H,N,O",C31 H41 N11 O6,~{N}-[5-[[5-[[5-[[3-[3-(dimethylamino)propylamino]-3-oxidanylidene-propyl]carbamoyl]-1-methyl-pyrrol-3-yl]carbamoyl]-1-methyl-pyrrol-3-yl]carbamoyl]-1-methyl-4-oxidanyl-pyrrol-3-yl]-1-methyl-imidazole-2-carboxamide,7
ccd_ahf,./data/rfd3/ccd_ligands/structures/AHF.cif,AHF,664.765,47,12,"C,H,N,O,S",C35 H40 N2 O9 S,"2-[4-(HYDROXY-METHOXY-METHYL)-BENZYL]-7-(4-HYDROXYMETHYL-BENZYL)-1,1-DIOXO-3,6-BIS-PHENOXYMETHYL-1LAMBDA6-[1,2,7]THIADIAZEPANE-4,5-DIOL",7
ccd_dnd,./data/rfd3/ccd_ligands/structures/DND.cif,DND,665.418,44,23,"C,H,N,O,P",C21 H27 N6 O15 P2,NICOTINIC ACID ADENINE DINUCLEOTIDE,7
ccd_nai,./data/rfd3/ccd_ligands/structures/NAI.cif,NAI,665.441,44,23,"C,H,N,O,P",C21 H29 N7 O14 P2,"1,4-DIHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE",7
ccd_0gh,./data/rfd3/ccd_ligands/structures/0GH.cif,0GH,665.843,47,12,"C,H,N,O,S",C35 H47 N5 O6 S,"N-[(2S)-1-({(2S,3R)-3-hydroxy-1-[(2-methylpropyl)amino]-1-oxobutan-2-yl}amino)-3-phenylpropan-2-yl]-5-[methyl(methylsulfonyl)amino]-N'-[(1R)-1-phenylethyl]benzene-1,3-dicarboxamide",7
ccd_a1icx,./data/rfd3/ccd_ligands/structures/A1ICX.cif,A1ICX,666.789,48,12,"C,H,N,O,S",C36 H38 N6 O5 S,"3-[[1-[(3~{R},4~{R})-1-[5-(3-methoxypyridin-4-yl)thiophen-2-yl]carbonyl-3-phenyl-piperidin-4-yl]carbonyl-4-oxidanyl-piperidin-4-yl]methyl]-7-methyl-pyrrolo[2,3-d]pyrimidin-4-one",7
ccd_cqi,./data/rfd3/ccd_ligands/structures/CQI.cif,CQI,668.877,45,13,"C,H,O,S",C32 H60 O12 S,"[(2~{S},3~{S},4~{S},5~{R},6~{S})-6-[(2~{S})-3-butanoyloxy-2-heptanoyloxy-propoxy]-3,4,5-tris(oxidanyl)oxan-2-yl]methanesulfonic acid",7
