name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_9cf,./data/rfd3/ccd_ligands/structures/9CF.cif,9CF,292.327,21,5,"C,H,O",C16 H20 O5,"(3S)-6,8-dihydroxy-3-{[(2R,6R)-6-methyloxan-2-yl]methyl}-3,4-dihydro-1H-2-benzopyran-1-one",2
ccd_07u,./data/rfd3/ccd_ligands/structures/07U.cif,07U,293.366,22,5,"C,H,N",C17 H19 N5,"2-methyl-N~1~-[3-(pyridin-4-yl)-2,6-naphthyridin-1-yl]propane-1,2-diamine",2
ccd_a1igd,./data/rfd3/ccd_ligands/structures/A1IGD.cif,A1IGD,294.003,13,7,"C,H,I,N,O",C6 H3 I N2 O4,"2,4-dinitroiodobenzene",2
ccd_36i,./data/rfd3/ccd_ligands/structures/36I.cif,36I,297.375,21,5,"C,H,N,O,S",C16 H15 N3 O S,"4-(2-phenylthieno[3,2-d]pyrimidin-4-yl)morpholine",2
ccd_gr2,./data/rfd3/ccd_ligands/structures/GR2.cif,GR2,298.290,22,5,"C,H,O",C17 H14 O5,"(3E,3aR,8bS)-3-({[(2R)-4-methyl-5-oxo-2,5-dihydrofuran-2-yl]oxy}methylidene)-3,3a,4,8b-tetrahydro-2H-indeno[1,2-b]furan-2-one",2
ccd_4zn,./data/rfd3/ccd_ligands/structures/4ZN.cif,4ZN,299.303,20,6,"C,H,N,O,P",C14 H22 N O4 P,(2S)-2-{[(R)-[(R)-amino(phenyl)methyl](hydroxy)phosphoryl]methyl}-4-methylpentanoic acid,2
ccd_abw,./data/rfd3/ccd_ligands/structures/ABW.cif,ABW,301.336,21,7,"C,H,N,O",C14 H23 N O6,"5-[1-(ACETYLAMINO)-3-METHYLBUTYL]-2,5-ANHYDRO-3,4-DIDEOXY-4-(METHOXYCARBONYL)PENTONIC ACID",2
ccd_h6k,./data/rfd3/ccd_ligands/structures/H6K.cif,H6K,305.294,23,8,"C,H,N,O",C15 H11 N7 O,1-(5-cyanopyrazin-2-yl)-3-(5-phenyl-1H-pyrazol-3-yl)urea,2
ccd_a1b1b,./data/rfd3/ccd_ligands/structures/A1B1B.cif,A1B1B,310.776,21,6,"C,CL,H,N,O",C15 H19 Cl N2 O3,(3S)-1-[(2-chloro-6-methoxyphenyl)acetyl]piperidine-3-carboxamide,2
ccd_xzv,./data/rfd3/ccd_ligands/structures/XZV.cif,XZV,311.764,21,7,"C,CL,H,N,O",C14 H18 Cl N3 O3,4-(5-chlorofuran-2-carbonyl)-N-(cyclopropylmethyl)piperazine-1-carboxamide,2
